time_us,state,temperature_chip_celsius,deployment_percent,pressure_mb,altitude,altitude_filt,velocity_filt,temperature_alt_celsius,mid_imu_ax,mid_imu_ay,mid_imu_az,mid_imu_gx,mid_imu_gy,mid_imu_gz,mag_x,mag_y,mag_z,high_g_x,high_g_y,high_g_z,drag_force,apogee_prediction,desired_drag_force
78212416,PAD,24.80,0,916.97,834.20,6.81,10.23,28.74,0.32,0.10,0.98,330.12,320.98,326.10,1011,5497,-327,0.44,-0.29,0.68,107.52,11.05,-20225.53
78222419,PAD,24.80,0,916.97,834.20,6.81,10.23,28.74,0.31,0.10,0.96,328.66,320.00,325.12,1011,5497,-327,0.44,-0.20,0.73,107.52,11.05,-20225.53
78232416,PAD,24.80,0,917.33,830.90,6.97,10.38,28.73,0.31,0.11,0.94,327.32,319.27,324.63,1011,5497,-327,0.34,-0.24,0.54,107.44,11.13,-20224.65
78242435,PAD,24.80,0,916.93,834.50,6.97,10.38,28.73,0.31,0.11,0.91,325.98,318.41,325.00,1011,5497,-327,0.24,0.00,0.63,107.20,11.13,-20224.65
78252416,PAD,24.80,0,916.97,834.20,7.14,10.52,28.74,0.34,0.11,0.89,324.88,317.68,326.59,1011,5497,-327,0.24,-0.10,0.63,107.20,11.42,-20219.85
78262419,PAD,24.80,0,917.16,832.50,7.14,10.52,28.74,0.38,0.14,0.87,323.41,317.32,328.29,1011,5497,-327,0.44,-0.39,0.49,107.20,11.42,-20219.85
78272416,PAD,24.80,0,916.93,834.50,7.24,10.58,28.73,0.41,0.18,0.83,322.56,317.07,329.76,1011,5497,-327,0.44,-0.24,0.54,106.97,11.71,-20215.04
78282419,PAD,24.80,0,916.93,834.50,7.24,10.58,28.73,0.46,0.22,0.81,320.85,317.07,331.34,1011,5497,-327,0.49,-0.15,0.49,106.97,11.71,-20215.04
78292416,PAD,25.27,0,917.33,830.90,7.40,10.70,28.73,0.46,0.25,0.78,320.00,317.56,332.56,1011,5497,-327,0.44,-0.20,0.49,106.87,11.87,-20212.43
78302419,PAD,24.80,0,916.97,834.20,7.40,10.70,28.74,0.46,0.26,0.75,318.54,317.44,333.66,1011,5497,-327,0.49,-0.15,0.54,106.87,11.87,-20212.43
78312416,PAD,24.80,0,916.93,834.50,7.55,10.78,28.73,0.46,0.26,0.72,317.68,317.44,333.66,1011,5497,-327,0.49,-0.34,0.34,106.68,12.13,-20207.63
78322419,PAD,24.80,0,916.74,836.30,7.55,10.78,28.73,0.43,0.25,0.69,316.59,318.05,332.93,1011,5497,-327,0.54,-0.39,0.39,106.68,12.13,-20207.63
78332416,PAD,25.27,0,916.74,836.30,7.77,10.92,28.73,0.41,0.24,0.67,315.61,317.68,331.71,1011,5497,-327,0.44,-0.39,0.39,106.54,12.36,-20203.26
78342419,PAD,24.80,0,917.16,832.50,7.77,10.92,28.74,0.40,0.22,0.67,314.88,317.56,329.63,1011,5497,-327,0.39,-0.10,0.29,106.54,12.36,-20203.26
78352416,PAD,25.27,0,916.93,834.50,7.85,10.93,28.73,0.36,0.21,0.65,314.27,317.68,326.83,1011,5497,-327,0.44,-0.20,0.34,106.31,12.71,-20197.16
78362419,PAD,24.80,0,916.97,834.20,7.85,10.93,28.74,0.35,0.20,0.66,313.17,316.95,323.54,1011,5497,-327,0.34,-0.15,0.39,106.31,12.71,-20197.16
78372416,PAD,24.80,0,916.93,834.50,7.99,10.98,28.73,0.35,0.21,0.67,312.68,316.95,319.27,1011,5497,-327,0.44,-0.10,0.44,106.31,12.79,-20194.54
78382419,PAD,25.27,0,916.93,834.50,7.99,10.98,28.73,0.33,0.20,0.68,311.46,316.59,315.00,1011,5497,-327,0.34,-0.05,0.34,106.31,12.79,-20194.54
78392416,PAD,24.80,0,916.93,834.50,8.14,11.04,28.73,0.35,0.20,0.69,310.61,315.85,310.98,1011,5497,-327,0.49,-0.15,0.44,106.22,12.98,-20190.61
78402419,PAD,24.80,0,916.93,834.50,8.14,11.04,28.73,0.35,0.19,0.70,309.88,315.49,307.56,1011,5497,-327,0.39,-0.34,0.49,106.22,12.98,-20190.61
78412416,PAD,24.80,0,916.93,834.50,8.28,11.11,28.73,0.36,0.20,0.71,308.29,315.00,304.88,1011,5497,-327,0.29,-0.24,0.39,106.12,13.18,-20186.69
78422419,PAD,24.80,0,916.93,834.50,8.28,11.11,28.73,0.38,0.21,0.72,307.32,314.76,302.80,1011,5497,-327,0.44,-0.20,0.34,106.12,13.18,-20186.69
78432416,PAD,24.80,0,916.70,836.60,8.42,11.17,28.71,0.39,0.21,0.72,305.85,314.51,302.20,1011,5497,-327,0.44,-0.20,0.44,106.01,13.39,-20182.33
78442435,PAD,24.80,0,916.74,836.30,8.42,11.17,28.73,0.42,0.22,0.73,304.39,313.90,302.93,1011,5497,-327,0.44,-0.20,0.39,105.91,13.39,-20182.33
78452416,PAD,24.80,0,916.93,834.50,8.61,11.29,28.73,0.45,0.24,0.74,303.29,314.02,304.15,1011,5497,-327,0.49,-0.29,0.34,105.91,13.58,-20178.41
78462419,PAD,24.80,0,916.74,836.30,8.61,11.29,28.73,0.45,0.26,0.75,302.32,313.90,305.73,1011,5497,-327,0.49,-0.24,0.49,105.91,13.58,-20178.41
78472416,PAD,24.80,0,916.74,836.30,8.81,11.41,28.73,0.46,0.27,0.76,300.85,313.66,307.68,1011,5497,-327,0.44,-0.24,0.39,105.72,13.89,-20172.74
78482419,PAD,24.80,0,916.93,834.50,8.81,11.41,28.73,0.48,0.29,0.78,299.88,313.66,308.90,1011,5497,-327,0.44,-0.34,0.39,105.72,13.89,-20172.74
78492416,PAD,24.80,0,916.93,834.50,8.93,11.46,28.73,0.48,0.30,0.78,299.02,313.41,309.63,1011,5497,-327,0.44,-0.29,0.49,105.53,14.20,-20167.50
78502419,PAD,24.80,0,916.74,836.30,8.93,11.46,28.73,0.48,0.31,0.79,298.05,313.17,308.78,1011,5497,-327,0.44,-0.24,0.49,105.53,14.20,-20167.50
78512416,PAD,24.80,0,916.93,834.50,9.12,11.58,28.73,0.48,0.31,0.80,297.44,313.29,306.10,1011,5497,-327,0.49,-0.34,0.49,105.44,14.38,-20164.02
78522419,PAD,24.80,0,916.54,838.10,9.12,11.58,28.73,0.45,0.30,0.79,297.07,312.93,302.44,1011,5497,-327,0.59,-0.24,0.49,105.44,14.38,-20164.02
78532416,PAD,25.27,0,916.51,838.30,9.36,11.74,28.71,0.45,0.28,0.80,296.83,312.56,298.90,1011,5497,-327,0.54,-0.34,0.39,105.26,14.67,-20158.36
78542419,PAD,24.80,0,916.51,838.30,9.36,11.74,28.71,0.43,0.24,0.79,296.71,312.44,294.27,1011,5497,-327,0.34,-0.24,0.49,105.26,14.67,-20158.36
78552416,PAD,24.80,0,916.54,838.10,9.61,11.91,28.73,0.44,0.18,0.80,297.20,311.22,290.00,1011,5497,-327,0.24,-0.24,0.59,104.99,15.08,-20151.38
78562419,PAD,24.80,0,916.93,834.50,9.61,11.91,28.73,0.47,0.16,0.82,297.68,310.85,286.95,1011,5497,-327,0.34,-0.34,0.63,104.99,15.08,-20151.38
78572416,PAD,24.80,0,916.70,836.60,9.72,11.95,28.71,0.48,0.15,0.83,298.29,310.37,285.00,1011,5497,-327,0.15,-0.24,0.59,104.72,15.49,-20144.41
78582419,PAD,24.80,0,916.31,840.10,9.72,11.95,28.71,0.52,0.13,0.86,298.66,309.76,283.05,1011,5497,-327,0.39,-0.34,0.59,104.72,15.49,-20144.41
78592416,PAD,24.80,0,916.34,839.90,10.02,12.17,28.73,0.56,0.13,0.90,299.27,310.00,280.12,1011,5497,-327,0.29,-0.54,0.73,104.66,15.64,-20141.36
78602419,PAD,25.27,0,916.74,836.30,10.02,12.17,28.73,0.56,0.13,0.91,299.39,309.88,277.56,1011,5497,-327,0.34,-0.54,0.59,104.66,15.64,-20141.36
78612416,PAD,24.80,0,916.31,840.10,10.18,12.27,28.71,0.61,0.12,0.94,299.88,309.76,275.37,1011,5497,-327,0.39,-0.54,0.68,104.30,16.17,-20132.64
78622419,PAD,25.27,0,916.51,838.30,10.18,12.27,28.71,0.62,0.12,0.94,299.88,310.61,273.29,1011,5497,-327,0.34,-0.44,0.49,104.30,16.17,-20132.64
78632416,PAD,24.80,0,916.51,838.30,10.41,12.44,28.71,0.60,0.11,0.91,300.61,310.61,272.80,1011,5497,-327,0.20,-0.29,0.49,104.14,16.43,-20128.30
78642435,PAD,24.80,0,916.70,836.60,10.41,12.44,28.71,0.63,0.12,0.91,301.46,310.49,273.29,1011,5497,-327,0.34,-0.39,0.54,103.88,16.43,-20128.30
78652416,PAD,24.80,0,916.31,840.10,10.57,12.54,28.71,0.61,0.14,0.90,302.44,310.85,274.39,1011,5497,-327,0.34,-0.34,0.59,103.88,16.84,-20121.77
78662419,PAD,24.80,0,916.31,840.10,10.57,12.54,28.71,0.62,0.17,0.94,303.29,309.88,273.78,966,5435,-327,0.29,-0.44,0.59,103.88,16.84,-20121.77
78672416,PAD,24.80,0,916.31,840.10,10.85,12.75,28.71,0.67,0.24,1.02,303.78,310.12,269.63,966,5435,-327,0.39,-0.49,0.63,103.72,17.10,-20116.99
78682419,PAD,24.80,0,916.31,840.10,10.85,12.75,28.71,0.68,0.27,1.08,303.78,311.22,263.78,966,5435,-327,0.63,-0.63,0.98,103.72,17.10,-20116.99
78692416,PAD,24.80,0,916.54,838.10,11.13,12.98,28.73,0.67,0.28,1.11,303.29,311.34,260.37,966,5435,-327,0.39,-0.59,0.88,103.38,17.61,-20109.15
78702419,PAD,24.80,0,916.51,838.30,11.13,12.98,28.71,0.69,0.25,1.14,302.68,311.71,260.00,966,5435,-327,0.39,-0.59,0.98,103.38,17.61,-20109.15
78712416,PAD,24.80,0,916.31,840.10,11.34,13.16,28.71,0.67,0.20,1.12,301.71,311.83,260.98,966,5435,-327,0.39,-0.59,0.83,103.02,18.14,-20100.88
78722419,PAD,24.80,0,916.31,840.10,11.34,13.16,28.71,0.67,0.12,1.10,301.10,312.32,263.17,966,5435,-327,0.15,-0.29,0.78,103.02,18.14,-20100.88
78732416,PAD,24.80,0,916.31,840.10,11.61,13.38,28.71,0.63,0.04,1.05,301.10,313.41,264.51,966,5435,-327,0.15,-0.44,0.63,102.74,18.55,-20095.23
78742419,PAD,24.80,0,916.31,840.10,11.61,13.38,28.71,0.60,-0.05,0.99,301.10,313.54,266.22,966,5435,-327,0.05,-0.39,0.68,102.74,18.55,-20095.23
78752416,PAD,24.80,0,916.31,840.10,11.87,13.56,28.71,0.60,-0.10,0.96,301.71,314.39,268.05,966,5435,-327,0.05,-0.49,0.63,102.39,19.06,-20087.40
78762419,PAD,24.80,0,915.92,843.70,11.87,13.56,28.71,0.58,-0.14,0.94,302.20,315.00,269.63,966,5435,-327,0.00,-0.59,0.63,102.39,19.06,-20087.40
78772416,PAD,24.80,0,915.92,843.70,12.26,13.85,28.71,0.59,-0.15,0.93,303.05,315.49,271.34,966,5435,-327,0.05,-0.39,0.73,102.10,19.54,-20080.00
78782419,PAD,24.80,0,916.12,841.80,12.26,13.85,28.71,0.58,-0.14,0.92,303.78,316.59,272.80,966,5435,-327,0.20,-0.44,0.63,102.10,19.54,-20080.00
78792416,PAD,24.80,0,916.12,841.80,12.57,14.06,28.71,0.57,-0.12,0.93,304.39,316.83,274.88,966,5435,-327,0.15,-0.39,0.68,101.65,20.26,-20069.14
78802419,PAD,24.80,0,916.12,841.80,12.57,14.06,28.71,0.60,-0.08,0.95,304.51,317.56,276.34,966,5435,-327,0.05,-0.39,0.73,101.65,20.26,-20069.14
78812416,PAD,24.80,0,915.89,843.90,12.87,14.26,28.69,0.60,-0.05,0.96,304.39,318.54,278.17,966,5435,-327,0.24,-0.63,0.59,101.32,20.82,-20060.01
78822419,PAD,25.27,0,916.12,841.80,12.87,14.26,28.71,0.62,-0.02,0.97,303.66,318.90,282.68,966,5435,-327,0.20,-0.49,0.73,101.32,20.82,-20060.01
78832416,PAD,24.80,0,915.89,843.90,13.17,14.46,28.69,0.65,-0.01,0.97,302.56,319.76,290.73,966,5435,-327,0.24,-0.59,0.68,101.00,21.37,-20051.33
78842434,PAD,24.80,0,916.12,841.80,13.17,14.46,28.71,0.65,0.00,0.95,301.71,320.24,302.44,966,5435,-327,0.24,-0.49,0.78,100.69,21.37,-20051.33
78852416,PAD,24.80,0,915.89,843.90,13.46,14.65,28.69,0.65,0.01,0.93,300.73,320.49,315.61,966,5435,-327,0.15,-0.24,0.83,100.69,21.90,-20043.08
78862419,PAD,24.80,0,916.08,842.20,13.46,14.65,28.69,0.63,0.03,0.92,299.88,321.10,327.07,966,5435,-327,0.10,-0.34,0.44,100.69,21.90,-20043.08
78872416,PAD,24.80,0,915.69,845.70,13.75,14.83,28.69,0.55,0.03,0.88,299.39,321.59,335.49,966,5435,-327,0.15,-0.15,0.54,100.40,22.42,-20034.82
78882419,PAD,25.27,0,915.69,845.70,13.75,14.83,28.69,0.52,0.02,0.86,299.15,321.22,340.00,966,5435,-327,0.15,-0.44,0.59,100.40,22.42,-20034.82
78892416,PAD,24.80,0,915.49,847.50,14.17,15.10,28.69,0.47,0.01,0.83,299.88,321.46,339.51,966,5435,-327,0.20,-0.24,0.68,100.12,22.94,-20026.58
78902419,PAD,24.80,0,915.69,845.70,14.17,15.10,28.69,0.40,-0.02,0.78,301.10,320.98,334.39,966,5435,-327,0.05,-0.10,0.59,100.12,22.94,-20026.58
78912416,PAD,24.80,0,915.69,845.70,14.57,15.35,28.69,0.37,-0.05,0.74,303.29,320.00,325.49,966,5435,-327,0.05,-0.15,0.59,99.69,23.71,-20014.44
78922419,PAD,24.80,0,915.49,847.50,14.57,15.35,28.69,0.37,-0.06,0.71,305.49,319.27,316.46,966,5435,-327,0.20,-0.10,0.39,99.69,23.71,-20014.44
